cw	pmi_4	raw_4	pmi_10	raw_10	freq
6,3/num			1.970185	1	1167
6,4/num	2.885576	1.0	2.6778204	2	1156
6,5/num	1.7019168	1.0	0.79936934	1	3779
6,9/num	3.271718	1.0	2.372418	1	787
6-0/name			1.994376	1	1129
6-1/name			2.0240617	1	1095
6-15/name	5.828386	1.0	4.923879	1	61
6-15/num			5.2171326	1	45
6-20/num			5.434705	1	36
6-3/num			-0.78459215	1	18216
6-4/name	4.73972	5.0	4.4152226	9	904
6-4/num	0.85755646	2.0	1.045146	6	17548
6./num			-0.70086896	1	16672
6.000/num			0.93523484	1	3294
6/name	0.49870968	1.0	-0.40557325	1	12583
6/num	0.28472978	4.0	0.69971013	15	62429
60-jarig/adj	5.874808	1.0	4.983983	1	58
600/num			0.5553602	2	9639
66/num	0.9377732	1.0	0.72573173	2	8103
67/num			0.021980617	1	8183
6de/num	3.164169	2.0	2.9544096	4	1752
7,0/num	5.6477838	1.0	5.4305468	2	73
7,1/num	3.3027396	1.0	2.3986843	1	760
7,2/num			2.1553092	1	977
7,4/num			2.1092694	1	1020
7,6/num	3.0977743	1.0	2.195972	1	938
7,7/num			2.1944482	1	939
7,9/num	3.4366953	1.0	2.5358813	1	669
7-0/num	2.9137967	1.0	2.7014654	2	1125
7-1/name			2.7110367	1	554
7-1/num			2.8491364	1	485
7-15/name	5.5941696	1.0	5.3812957	2	77
7-2/name	3.6139	1.0	2.7011495	1	557
7-3/name	4.6337347	3.0	4.9269676	10	604
7-3/num	3.6843252	1.0	2.7774608	1	521
7-4/name			3.0670607	1	386
7-4/num			2.6840565	1	572
7-5/name	3.424324	1.0	3.2052133	2	672
7-5/num			0.14500096	1	7202
7-6/num			-0.08214535	1	9018
7./num			-0.65225285	1	15866
7/name	0.91460973	1.0	0.009375666	1	8297
7/noun			-0.8143153	1	18997
7/num	0.134501	3.0	0.20901056	8	54496
70/num	-0.35511664	1.0	-1.2615968	1	29500
73/num	1.0764145	1.0	0.17091434	1	7053
747AM/name			1.9078543	1	1361
75,2/num	6.937361	1.0	6.0224915	1	20
75-jarige/adj			2.0809584	1	1057
75/num	-0.05094846	1.0	-0.26264715	2	21780
75ste/num			2.2780592	1	869
7andapos;01-andapos;02/num	9.933093	1.0	9.374899	1	1
7de/num	3.228449	2.0	2.7305202	3	1648
8,0/num	6.0285983	1.0	5.817512	2	50
8,2/num			2.3880024	1	772
8,3/num	3.3187027	1.0	3.5147913	3	753
8,5/num	2.3378317	1.0	1.4353073	1	1997
8,6/num	3.233439	1.0	3.0258224	2	818
8,8/num	3.356972	1.0	3.146247	2	721
8--15/name			8.325077	1	2
8-0/num			1.8846487	1	1267
8-1/name	4.039035	1.0	3.1282384	1	364
8-1/num			3.416474	1	275
8-15/name			5.8975124	4	92
8-15/num			4.029153	1	148
8-2/name	3.7587864	1.0	4.2346983	4	482
8-3/num			4.1222515	1	136
8./num	0.3365555	1.0	0.11642838	2	14720
8.068/num	7.987183	1.0	7.108681	1	7
8/name	0.9975845	1.0	0.78604966	2	7638
8/num	-0.92883897	1.0	-0.73600155	3	52574
80,24/num	9.239946	1.0	8.325077	1	2
80,53/num	9.239946	1.0	8.325077	1	2
80,8/num	7.387562	1.0	6.484527	1	13
81,6/num	6.6008887	1.0	5.700408	1	28
82,6/num	6.2791934	1.0	5.384593	1	39
82,7/num	7.29851	2.0	6.3917456	2	28
82-83/num			7.9196115	1	3
83,74/num	8.834481	1.0	7.9196115	1	3
84,3/num	7.934997	2.0	7.0303497	2	15
84,35/num	9.933093	1.0	9.018224	1	1
84,4/num	6.2504835	1.0	5.355945	1	40
84,7/num	7.294036	2.0	6.3791666	2	28
85,6/num	6.6418967	1.0	5.7448597	1	27
86/num			0.32186413	1	6067
87,54/num	9.933093	1.0	9.018224	1	1
88,3/num	6.900547	1.0	5.992933	1	21
88,4/num	6.219521	1.0	5.3256016	1	41
88,9/num	7.793027	2.0	6.8781576	2	17
89,4/num	7.0427213	1.0	6.127852	1	18
89,5/num	5.87265	1.0	4.9603705	1	58
9,0/num	6.2013936	1.0	5.3132253	1	44
9,8/num			2.813565	1	506
9--3/name	9.933093	1.0	9.018224	1	1
9-1/name	4.124951	1.0	3.9075925	2	335
9-15/name			5.8562713	3	71
9-2/num	4.747105	1.0	3.8403807	1	180
9./num	0.41680425	1.0	-0.4959327	1	13584
9/num	-0.8304639	1.0	-0.12560588	5	47693
90,1/num	7.46924	1.0	6.567219	1	12
90,6/num	6.962679	1.0	6.0633135	1	20
90,8/num	6.912668	1.0	5.997799	1	21
90,91/num	9.239946	1.0	8.325077	1	2
90-91/num	7.387562	1.0	6.484527	1	13
91/num	1.8316807	1.0	0.92731607	1	3318
92,9/num	6.6098576	1.0	5.7040377	1	28
92/num	1.6637526	1.0	0.7606567	1	3922
93,1/num	7.0998797	1.0	6.1850104	1	17
93,8/num			6.245635	1	16
93,9/num	7.0998797	1.0	6.1850104	1	17
93/num	2.8443716	3.0	1.9398121	3	3611
94,2/num	6.8420506	1.0	5.9271812	1	22
94,5/num	6.008648	1.0	5.1042027	1	51
94,7/num	6.995255	1.0	6.0923777	1	19
94,8/num	7.643087	2.0	6.75386	2	20
94-95/num			5.311996	1	41
94/num	1.8965198	1.0	0.9922825	1	3113
95,63/num	9.239946	1.0	8.325077	1	2
95-96/noun	6.5112767	1.0	6.3002234	2	31
95-96/num			5.471484	1	35
95/num	1.1118219	1.0	0.20574512	1	6806
97,5/num	5.490442	1.0	4.582064	1	85
97,8/num	6.995255	1.0	6.0923777	1	19
97/num			1.0172877	1	3019
98.6/num	8.141334	1.0	7.2264643	1	6
99,6/num	6.295507	1.0	5.385915	1	38
9de/num			2.064253	1	1074
:/punct	0.97574854	279.0	0.65323925	499	2182842
;/punct	0.34542635	49.0	0.93551236	220	715025
?/punct	-0.15303616	34.0	-0.21732566	79	826450
A-Antwerpen/name	9.933093	1.0	9.018224	1	1
A-Blue/name	8.323655	1.0	7.408786	1	5
A-Borsbeek/name	8.323655	2.0	7.408786	2	10
A-Free/name			8.612759	2	3
A-Immo/name			7.072314	2	14
A-Kapellen/name	7.5351977	1.0	6.643318	1	11
A-Prova/name	8.952264	3.0	8.037395	3	8
A-Sokah/name	6.937361	1.0	6.7156386	2	20
A-Zevenbunder/name			7.408786	1	5
A-reekswinnaar/name			8.325077	2	4
A./name	1.4998252	5.0	0.93077457	7	23202
A./tag	4.253774	1.0	3.3423266	1	296
A/name	3.4797058	58.0	3.3134186	121	37251
A1/name			2.1330721	1	995
AA/name			-0.005624236	1	8644
AALTER/name			3.1315644	1	377
AARSCHOT/name			3.3958323	1	298
ABN/name			-0.47807708	1	13732
AC/name	0.95990026	1.0	1.1582897	3	8039
ACLU/name			4.630588	1	81
ACOD-TBM/name			9.018224	1	1
ACOD_lidmaatschap/noun			9.018224	1	1
ACV/name			0.766234	1	3952
ACW_visie/noun			8.325077	1	2
AFGEHAALD/name			9.018224	1	1
AFP/name	1.3423244	1.0	1.1927689	2	6045
AICS/name			6.662098	1	11
AL/name			3.4362326	1	298
AMBITIE/name	7.0085883	1.0	6.144659	1	19
ANDRÉ/name			4.6456165	1	89
APRA/name			6.4044843	1	14
ASOC/name	7.0998797	1.0	6.895962	2	17
ASSE/name	4.632279	1.0	3.7589073	1	207
ATBS/name			5.986883	2	42
AVT/name	2.7512162	1.0	1.8783257	1	1697
AWW_voorzitter/noun			5.5842366	1	32
AZ/name			0.61165506	2	9225
Aalst-Baasrode/name			8.325077	1	2
Aalst-Buizingen/name			8.325077	1	2
Aalst-Hamme/name	9.239946	1.0	8.325077	1	2
Aalst-Maesdal/name			9.018224	1	1
Aalst-Ninove/name			7.2264643	1	6
Aalst/name			0.8184987	7	26544
Aalst_Bever/name			7.9196115	1	3
Aalst_Herne/name	9.933093	1.0	9.018224	1	1
Aalst_Okegem/name			8.325077	1	2
Aalter/name	2.4139771	4.0	2.334856	9	7504
Aalter_Maldegem/name			7.9196115	1	3
Aangelegenheden/name			2.1388166	1	980
Aanpassing/name	6.6418967	1.0	5.7429676	1	27
Aarschot/name	3.2876365	12.0	2.9589393	21	9452
Aarschotse/adj	3.2974749	1.0	3.0969806	2	770
Aarschotse/name			4.504621	1	96
Aartselaar/name			2.2948523	3	2593
Abeels/name			3.8261008	1	187
Abeels/noun			4.8369374	1	67
Acker/name			0.93500334	1	3299
Activiteiten/name	5.505257	1.0	4.6024	1	84
Ad/name			1.0642467	2	5850
Adelmund/name			1.2769727	1	2367
Admiraal/name			2.7703745	1	524
Adri/name			1.6666806	1	1600
Aegon/name			0.2059312	1	6888
Aers/name	6.253633	1.0	5.3598037	1	40
Afghaans/adj	0.9364722	1.0	0.036510833	1	8188
Afghanistan/name			-0.9595963	1	21966
Afrika/name			0.47568953	4	20848
Afrikaans/adj			0.4079442	3	16737
Agnes/name			1.073324	1	2913
Ago/name			4.3820395	1	104
Ago/noun			7.2264643	2	12
Agt/name			1.9268979	1	1221
Ajax-Boulevard/name			9.018224	1	1
Ajuinen/noun			3.953416	1	162
Akker/name			2.1434052	1	981
Al/det			1.2163212	1	2474
Alain/name	0.62026393	1.0	0.41027176	2	11202
Alcatel/name	2.14623	1.0	2.857502	5	2464
Alex/name			0.36023885	2	12050
Algemene/name			0.33109385	1	6056
Aliyev/name			4.4786596	1	95
Alliantie/name	1.6729559	1.0	0.7659863	1	3886
Alman/name			6.084367	1	19
Almanij/name	3.2291386	1.0	2.3286867	1	828
Alphons/name			4.0942364	1	143
Amerika/det			1.3467464	1	2192
Amerikaan/noun			-1.205836	2	56013
Amerikaans/adj	-1.3057977	3.0	-1.3599483	7	231449
Amstellyceum/name			5.17448	1	48
Amstelveen/name			0.7952541	1	3832
Amsterdam/name			-2.8451023	1	146502
Amsterdammer/noun			-0.12058288	1	9563
Amsterdams/adj			-1.7587805	1	49844
Amsterdams/noun			3.50258	1	254
Anderlecht/name	-0.5869068	1.0	0.46027133	7	37583
Andrew/name			0.69572043	1	4192
Andries/name			1.0253807	1	3023
Andrzej/name	4.1148667	1.0	3.2123363	1	341
André/name	-0.10302768	1.0	-1.005579	1	23199
Andy/name			-0.30684596	1	11432
Angre-Horrues/name	9.239946	1.0	8.325077	1	2
Angre/name	8.323655	2.0	7.408786	2	10
Angre_Horrues/name	9.933093	1.0	9.018224	1	1
Angre_Ladeuze/name	9.933093	1.0	9.018224	1	1
Annaert/noun			5.799348	1	25
Annan/name			0.4465804	1	5403
Ante/name	4.4021773	1.0	3.4955637	1	256
Antwerpen/name			-1.3400009	3	98965
Antwerps/adj	1.8986213	14.0	1.1347327	16	43848
Antwerpse/name			1.3700324	1	2211
Arbeid/name	2.2617323	2.0	2.0509033	4	4315
Ardennen/name	1.0275302	1.0	0.121635824	1	7407
Arg/name			1.5012467	1	1941
Arijs/name			2.2101233	1	933
Armenonville/name			6.8606644	1	9
Arpino/name			6.6203284	1	11
Arseneau/name			9.018224	1	1
Artois/name	3.7697785	1.0	2.8655975	1	477
Aryeh/name			5.423655	1	37
Asefi/name			5.552488	1	32
Assche/name			1.409527	1	2056
Asse/name			0.17421927	1	7324
Assebroek-Octopussy/noun	9.933093	1.0	9.018224	1	1
Assebroek/name			1.6728591	1	1617
Asselman/name			2.8055677	2	1016
Assemblee/name			2.2742825	1	861
Assenede/name	2.0890975	1.0	1.8928	2	2599
Assent/name			4.4324913	2	202
Assisi/name			3.3107815	1	307
Associatie/name	3.712006	1.0	2.8169036	1	509
Astmatici/name			9.018224	1	1
Ath/name			2.9309947	1	448
Atlas/name			1.388734	1	2097
Atom/name			3.63971	1	220
Attenhoven/name			3.2519362	1	324
Audenaert/name	3.4677265	1.0	2.5632613	1	649
Audoor/name			3.4426537	1	265
Auschwitz-Stichting/name			9.018224	1	1
Avelgem/name			1.0597869	1	2962
