_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
bevordering.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5456206028912323	-0.14249088736698046	LEMMAPATH3	NA	NA	LEMMAPATH	357	selection	NA	NA	FOC	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.2681596551797636	0.4205537302472535	LEMMAPATH3	NA	NA	LEMMAPATH	357	weight	NA	NA	5000	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.3417845756543841	0.4773042129694835	LEMMAPATH3	NA	NA	LEMMAPATH	357	weight	NA	NA	5000	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.11939851390686793	0.3444050435157426	LEMMAPATH3	NA	NA	LEMMAPATH	357	weight	NA	NA	FOC	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.14798783831507867	0.42794341959835897	LEMMAPATH3	NA	NA	LEMMAPATH	357	weight	NA	NA	FOC	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.7977578078652209	-0.7102925709497496	LEMMAPATHweight	NA	NA	LEMMAPATH	573	no	NA	NA	5000	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.982350660612487	-0.8070084539802501	LEMMAPATHweight	NA	NA	LEMMAPATH	573	no	NA	NA	5000	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.4562883052462204	-0.5412235691005214	LEMMAPATHweight	NA	NA	LEMMAPATH	573	no	NA	NA	FOC	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.5346313586812301	-0.5949669624416525	LEMMAPATHweight	NA	NA	LEMMAPATH	573	no	NA	NA	FOC	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.8031396349786347	-0.30300513449410266	LEMMAPATHweight	NA	NA	LEMMAPATH	357	selection	NA	NA	5000	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.989382440634463	-0.40005625288367846	LEMMAPATHweight	NA	NA	LEMMAPATH	357	selection	NA	NA	5000	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.47633935414084544	-0.12549561087000824	LEMMAPATHweight	NA	NA	LEMMAPATH	357	selection	NA	NA	FOC	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5456206028912323	-0.14249088736698046	LEMMAPATHweight	NA	NA	LEMMAPATH	357	selection	NA	NA	FOC	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.2681596551797636	0.4205537302472535	LEMMAPATHweight	NA	NA	LEMMAPATH	357	weight	NA	NA	5000	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.3417845756543841	0.4773042129694835	LEMMAPATHweight	NA	NA	LEMMAPATH	357	weight	NA	NA	5000	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.11939851390686793	0.3444050435157426	LEMMAPATHweight	NA	NA	LEMMAPATH	357	weight	NA	NA	FOC	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.14798783831507867	0.42794341959835897	LEMMAPATHweight	NA	NA	LEMMAPATH	357	weight	NA	NA	FOC	nav	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-1.268122063437148	-0.22318973915227497	NA	LEMMAREL1	NA	LEMMAREL	64	no	NA	NA	5000	all	204	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-1.5783483321220413	-0.15797112850529918	NA	LEMMAREL1	NA	LEMMAREL	64	no	NA	NA	5000	nav	204	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-1.3551756382106237	-0.31970386264344824	NA	LEMMAREL1	NA	LEMMAREL	64	no	NA	NA	FOC	all	204	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-1.9258078633853104	0.03678986639318229	NA	LEMMAREL1	NA	LEMMAREL	64	no	NA	NA	FOC	nav	204	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-1.1107039742547424	-0.15255016327740217	NA	LEMMAREL1	NA	LEMMAREL	44	selection	NA	NA	5000	all	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-1.518600403129469	-0.0338579225323057	NA	LEMMAREL1	NA	LEMMAREL	44	selection	NA	NA	5000	nav	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-1.4413220602545236	-0.17917116144858214	NA	LEMMAREL1	NA	LEMMAREL	44	selection	NA	NA	FOC	all	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-1.8240527432473543	0.0954665995082874	NA	LEMMAREL1	NA	LEMMAREL	44	selection	NA	NA	FOC	nav	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-1.2015987419492384	-0.1225587014330042	NA	LEMMAREL1	NA	LEMMAREL	44	weight	NA	NA	5000	all	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-1.424544693501238	-0.00796633191410098	NA	LEMMAREL1	NA	LEMMAREL	44	weight	NA	NA	5000	nav	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-1.4655381667594778	-0.104171711898566	NA	LEMMAREL1	NA	LEMMAREL	44	weight	NA	NA	FOC	all	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-1.66132975118297	0.14368631407802296	NA	LEMMAREL1	NA	LEMMAREL	44	weight	NA	NA	FOC	nav	201	3	bevordering.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
bevordering.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-1.0773077812324725	0.06044051670054252	NA	LEMMAREL2	NA	LEMMAREL	249	no	NA	NA	5000	all	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-1.308438484217726	0.12508451201313453	NA	LEMMAREL2	NA	LEMMAREL	249	no	NA	NA	5000	nav	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-0.8946285909745287	0.2066823659848704	NA	LEMMAREL2	NA	LEMMAREL	249	no	NA	NA	FOC	all	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.0416386135008622	0.2857340706217174	NA	LEMMAREL2	NA	LEMMAREL	249	no	NA	NA	FOC	nav	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
