cw	pmi_4	raw_4	pmi_10	raw_10	freq
2004/name			2.1235337	2	2725
2004/noun			-0.15717874	2	26354
2005/num	3.2146041	1.0	2.311107	1	1120
2006/noun			0.13994148	1	9767
21/noun			0.48636326	3	20754
210/num			2.5621076	2	1726
22/num	0.78266954	3.0	0.56674844	6	38168
220/num	2.1861038	1.0	1.2768705	1	3114
23-inch/noun			9.306873	1	1
23.50^^Baby/noun	10.226269	1.0	9.306873	1	1
23.50^^The/noun			7.920579	1	4
23.55^^Eye/noun			9.306873	1	1
23/name			1.4802704	1	2545
23/noun	0.5905708	1.0	-0.31434098	1	15400
23/num			-0.39595217	2	33360
230/num			1.6149195	1	2230
236.De/name	10.226269	1.0	9.306873	1	1
24/num	0.9952958	4.0	0.08624714	4	41130
25-tal/noun	4.4657907	1.0	3.5512893	1	318
25/name			2.2100277	2	2458
25/noun	0.6990942	1.0	0.48921248	2	13820
25/num	0.44838342	4.0	0.23322275	8	71011
250/name			3.9465203	1	220
250/num			-0.45243797	1	17628
256/num	4.391093	2.0	3.4892414	2	687
26.60.27/num	10.226269	1.0	9.663548	1	1
26.66.73/num			9.167111	1	2
26/num			-0.87575823	1	26958
27/noun	0.73192495	1.0	0.5216281	2	13389
27/num	0.7353984	2.0	0.23209865	3	26724
28-jarige/adj			1.6717384	2	4252
29/noun			-0.15151797	1	13107
290/num			2.4961796	1	926
3-dimensionale/adj	9.127657	1.0	8.242163	1	3
3/num	-0.55194896	2.0	-0.36428818	6	96814
30.000/num			0.51589656	1	6706
30/name			1.7418311	1	1983
30/noun	0.5129888	1.0	0.30189475	2	16647
30/num	0.36697912	3.0	0.15129967	6	57761
31/noun	0.6505998	1.0	0.4383297	2	14497
31/num			-0.49816602	1	18484
32x/noun			7.920579	1	4
33/num	0.39266735	1.0	-0.5153799	1	18802
330,04/num			9.306873	1	1
35/num	0.5192676	2.0	-0.3899653	2	33039
350/num			1.0627034	2	7766
360/num			1.8057635	1	1840
37)Dit/noun			9.306873	1	1
37-jarige/adj			1.4692794	1	2612
37/num	0.5938602	1.0	-0.3132231	1	15370
370/num			2.5097144	1	915
374/num	4.8040757	1.0	3.8961203	1	227
38/num			-0.32491392	1	15538
39/num	0.77383554	1.0	-0.13428125	1	12844
3D/name			4.4462857	1	132
3d_beeld/noun			9.306873	1	1
4-/num			3.9322894	1	218
4-speed/noun	10.226269	1.0	9.412233	1	1
4.200/num	4.737331	1.0	3.8320847	1	243
4/name	0.40205443	1.0	-0.50453746	1	18612
4/noun			-0.6020172	1	20560
4/num	-1.096963	1.0	0.1890356	9	83383
