_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
monitor.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.0746009501567864	0.27234487520110545	LEMMAPATH3	NA	NA	LEMMAPATH	419	weight	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08036417774398534	0.3355217104470884	LEMMAPATH3	NA	NA	LEMMAPATH	419	weight	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-1.053398371265095	-0.7801515869115093	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-1.0690816211098224	-0.7077682983118668	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.5210031266307288	-0.386085631702732	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.5226441002625354	-0.31863282846066915	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-1.017058789926146	-0.5149308047244963	LEMMAPATHweight	NA	NA	LEMMAPATH	419	selection	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-1.0647984069170948	-0.4993573641589958	LEMMAPATHweight	NA	NA	LEMMAPATH	419	selection	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.4909482419780206	-0.2074163555199127	LEMMAPATHweight	NA	NA	LEMMAPATH	419	selection	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4863778244228134	-0.16375755436264428	LEMMAPATHweight	NA	NA	LEMMAPATH	419	selection	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.36381428335326743	0.24451343260502575	LEMMAPATHweight	NA	NA	LEMMAPATH	419	weight	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.4298277635168987	0.29481211805530144	LEMMAPATHweight	NA	NA	LEMMAPATH	419	weight	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.0746009501567864	0.27234487520110545	LEMMAPATHweight	NA	NA	LEMMAPATH	419	weight	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08036417774398534	0.3355217104470884	LEMMAPATHweight	NA	NA	LEMMAPATH	419	weight	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-1.9465028460645128	0.16857367749878652	NA	LEMMAREL1	NA	LEMMAREL	141	no	NA	NA	5000	all	224	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-1.950576224383128	0.12820818638893614	NA	LEMMAREL1	NA	LEMMAREL	141	no	NA	NA	5000	nav	224	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-1.7631836858684344	0.5523507192285331	NA	LEMMAREL1	NA	LEMMAREL	141	no	NA	NA	FOC	all	224	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-1.674735257778466	0.6219657064821911	NA	LEMMAREL1	NA	LEMMAREL	141	no	NA	NA	FOC	nav	224	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-1.8178932696860848	0.20606692146135375	NA	LEMMAREL1	NA	LEMMAREL	114	selection	NA	NA	5000	all	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-1.834484171752621	0.15972777043411293	NA	LEMMAREL1	NA	LEMMAREL	114	selection	NA	NA	5000	nav	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-1.6400857984291224	0.5436635974184895	NA	LEMMAREL1	NA	LEMMAREL	114	selection	NA	NA	FOC	all	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-1.5199550122653782	0.5907612641827719	NA	LEMMAREL1	NA	LEMMAREL	114	selection	NA	NA	FOC	nav	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-1.7398869465556877	0.4395005250516852	NA	LEMMAREL1	NA	LEMMAREL	114	weight	NA	NA	5000	all	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-1.7822072716563526	0.4005012839308977	NA	LEMMAREL1	NA	LEMMAREL	114	weight	NA	NA	5000	nav	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
