size	max_diss	av_diss	diameter	separation	medoids	medoid_i
25	2.5851008470161707	1.7775272716434256	3.05360874379262	0.8601060768630414	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	1
23	2.641453376058493	1.8094169320442164	3.068757458624217	0.8601060768630414	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	2
24	2.4043347462116405	1.7267031055511455	3.1467201419898303	2.2394287145032368	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	3
39	3.3907530817483753	2.316187892888316	3.6926061477300225	1.255746331314976	monitor.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall	4
26	2.909664809657003	2.065478712805771	3.3622432198782	1.431772175501266	monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall	5
27	3.4494044811111273	2.251700289463918	3.739789343965381	1.255746331314976	monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	6
24	2.454804815963078	1.786356368070879	3.2064017903401627	2.2040044855505925	monitor.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSall	7
28	2.538678606102097	1.828121546402004	3.4043001276479665	1.431772175501266	monitor.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall	8
